Experimento,N,K,Processos,Iteracoes,SSE_Final,Tempo_s
Escalabilidade,1000000,16,1,17,266064998.6575,0.2440
Escalabilidade,1000000,16,2,17,266064998.6575,0.1527
Escalabilidade,1000000,16,3,17,266064998.6575,0.1338
Escalabilidade,1000000,16,4,17,266064998.6575,0.1327
Variacao_N,100000,16,4,16,42272349.3675,0.0074
Variacao_N,500000,16,4,17,93127088.7773,0.0571
Variacao_N,1000000,16,4,17,266064998.6575,0.1225
Variacao_N,1500000,16,4,19,399434112.4101,0.2438
Variacao_N,2000000,16,4,18,372495628.6220,0.2851
Variacao_N,3000000,16,4,31,329564562.4982,0.7202
Variacao_N,5000000,16,4,22,1323159540.8616,0.8814
Variacao_K,500000,4,4,20,170146967.5444,0.0235
Variacao_K,500000,16,4,17,93127088.7773,0.0746
Variacao_K,500000,32,4,30,191318762.1197,0.3377
Variacao_K,500000,64,4,25,228725983.7591,0.3458
Variacao_K,500000,128,4,32,147068437.3535,1.0465
Variacao_K,500000,160,4,32,147309720.1923,1.2094
Variacao_K,500000,200,4,25,142652736.4631,1.4307
Variacao_K,500000,220,4,29,125799100.1701,1.4457
