Experimento,N,K,Processos,Iteracoes,SSE_Final,Tempo_s
Escalabilidade,1000000,16,1,17,266064998.6575,0.1367
Escalabilidade,1000000,16,2,17,266064998.6575,0.0860
Escalabilidade,1000000,16,3,17,266064998.6575,0.0483
Escalabilidade,1000000,16,4,17,266064998.6575,0.0420
Variacao_N,100000,16,4,16,42272349.3675,0.0038
Variacao_N,500000,16,4,17,93127088.7773,0.0283
Variacao_N,1000000,16,4,17,266064998.6575,0.0425
Variacao_N,1500000,16,4,19,399434112.4101,0.0646
Variacao_N,2000000,16,4,18,372495628.6220,0.1039
Variacao_K,500000,4,4,20,170146967.5444,0.0076
Variacao_K,500000,16,4,17,93127088.7773,0.0261
Variacao_K,500000,32,4,30,191318762.1197,0.1043
Variacao_K,500000,64,4,25,228725983.7591,0.1594
Variacao_K,500000,128,4,32,147068437.3535,0.2933
